10th_score,12th_score,UG_score,Interests,Skills,Recommended_Career
71.18,65.17,6.33,AI/ML,"NLP, Keras, TensorFlow, Scikit-learn, Deep Learning",Machine Learning Engineer
69.03,86.49,9.06,Cloud Computing,"Terraform, Docker, Azure, AWS",Cloud Engineer
84.38,79.22,6.38,Data Science,"Python, SQL, Pandas, Machine Learning",Data Scientist
78.66,79.97,8.23,Design,"Figma, Sketch, Creativity, UI/UX",UX/UI Designer
61.82,60.02,9.0,Software Development,"OOP, Problem Solving, Java, Git, C++",Software Developer
70.67,63.33,7.29,Web Development,"HTML, JavaScript, Node.js, React, CSS",Web Developer
93.82,89.48,7.97,Data Science,"Python, Pandas, Data Analysis, Machine Learning, SQL",Data Scientist
84.79,90.25,8.23,Software Development,"Git, Java",Software Developer
87.4,80.47,9.44,Software Development,"OOP, C++, Java",Software Developer
78.04,67.16,8.09,Software Development,"Git, Spring Boot, Problem Solving, OOP, C++",Software Developer
88.19,86.96,9.16,Cybersecurity,"Cryptography, Wireshark, Linux",Cybersecurity Analyst
73.45,76.33,6.27,Web Development,"Bootstrap, JavaScript, CSS, React",Web Developer
92.33,63.08,7.9,Software Development,"Spring Boot, Problem Solving, OOP, Java, Git",Software Developer
71.1,80.54,8.15,AI/ML,"Python, Scikit-learn, NLP, TensorFlow, Deep Learning",Machine Learning Engineer
74.6,84.31,8.71,Cybersecurity,"Network Security, Firewalls, Wireshark",Cybersecurity Analyst
92.01,68.6,6.15,Web Development,"CSS, React",Web Developer
73.04,68.31,7.16,Software Development,"C++, Problem Solving, OOP, Spring Boot",Software Developer
86.08,76.98,6.17,Cloud Computing,"AWS, Terraform",Cloud Engineer
91.49,87.28,8.42,Design,"UI/UX, Sketch, Photoshop",UX/UI Designer
79.19,81.44,7.28,Software Development,"C++, Spring Boot, Problem Solving",Software Developer
71.11,87.2,6.97,Software Development,"Java, Spring Boot, OOP, Problem Solving, Git",Software Developer
75.01,81.04,7.18,AI/ML,"Keras, Deep Learning",Machine Learning Engineer
77.4,72.09,6.17,Web Development,"CSS, JavaScript, Bootstrap, HTML, React",Web Developer
66.2,94.44,8.3,Cloud Computing,"DevOps, Azure, Kubernetes, Docker",Cloud Engineer
66.22,79.08,7.9,Data Science,"NumPy, Data Analysis, Python, SQL",Data Scientist
93.97,73.02,8.61,AI/ML,"NLP, Deep Learning, Python, Keras",Machine Learning Engineer
85.91,66.46,7.1,Web Development,"Node.js, CSS, React, Bootstrap",Web Developer
80.93,77.92,6.78,Web Development,"Node.js, HTML",Web Developer
80.03,86.47,6.95,Software Development,"Java, Git, Problem Solving, C++",Software Developer
61.78,69.57,9.49,Cybersecurity,"Ethical Hacking, Wireshark, Cryptography",Cybersecurity Analyst
66.46,78.28,7.67,Cloud Computing,"Terraform, Docker, Azure",Cloud Engineer
67.66,92.44,8.64,Software Development,"Git, Java, C++, Problem Solving",Software Developer
73.83,71.13,6.7,Design,"Creativity, UI/UX, Figma",UX/UI Designer
64.08,71.48,7.72,Data Science,"Python, Machine Learning, Data Analysis, Pandas",Data Scientist
63.97,76.81,6.89,Data Science,"Pandas, Python",Data Scientist
65.79,77.43,7.94,Cloud Computing,"Terraform, Azure",Cloud Engineer
80.13,89.3,7.41,Cybersecurity,"Network Security, Wireshark, Linux, Firewalls",Cybersecurity Analyst
80.77,82.7,8.23,Cloud Computing,"AWS, Azure, Terraform",Cloud Engineer
63.64,73.47,6.49,Cybersecurity,"Linux, Wireshark, Network Security, Ethical Hacking",Cybersecurity Analyst
68.05,77.49,6.4,Data Science,"SQL, Pandas",Data Scientist
69.3,60.37,6.23,Web Development,"JavaScript, CSS, HTML, Node.js",Web Developer
84.21,88.27,6.37,Design,"Creativity, Sketch, UI/UX, Adobe XD, Photoshop",UX/UI Designer
94.55,86.58,9.04,Design,"Sketch, UI/UX, Creativity",UX/UI Designer
82.27,79.13,7.2,Web Development,"Bootstrap, Node.js, React, CSS",Web Developer
82.55,90.95,8.11,Cloud Computing,"AWS, Kubernetes",Cloud Engineer
66.27,62.78,7.53,AI/ML,"NLP, TensorFlow, Python, Deep Learning, Keras",Machine Learning Engineer
85.77,62.39,7.48,Cybersecurity,"Wireshark, Cryptography, Firewalls",Cybersecurity Analyst
77.33,64.44,7.99,Data Science,"SQL, Python",Data Scientist
64.94,87.25,9.08,Cybersecurity,"Wireshark, Cryptography",Cybersecurity Analyst
75.53,81.37,9.31,Cloud Computing,"Docker, Kubernetes, DevOps, Azure, Terraform",Cloud Engineer
71.52,75.7,9.09,Design,"Photoshop, Figma, UI/UX, Creativity",UX/UI Designer
71.21,91.99,8.64,Cloud Computing,"DevOps, Terraform, Docker",Cloud Engineer
75.08,61.02,6.16,Data Science,"Machine Learning, NumPy",Data Scientist
81.16,92.59,6.66,Cybersecurity,"Network Security, Wireshark, Firewalls",Cybersecurity Analyst
72.59,84.71,6.12,Cloud Computing,"Azure, Kubernetes, DevOps",Cloud Engineer
67.68,91.49,7.15,Cloud Computing,"AWS, Terraform, DevOps, Kubernetes",Cloud Engineer
79.65,68.48,7.3,Software Development,"Problem Solving, OOP, Git",Software Developer
66.98,77.76,6.58,Cybersecurity,"Firewalls, Wireshark, Linux, Cryptography",Cybersecurity Analyst
81.14,86.77,8.18,Data Science,"Pandas, Data Analysis, Machine Learning, SQL",Data Scientist
81.09,92.39,6.3,Web Development,"React, JavaScript, HTML",Web Developer
71.65,62.11,9.18,AI/ML,"Keras, Deep Learning, Scikit-learn, NLP",Machine Learning Engineer
88.78,71.63,6.14,AI/ML,"NLP, Deep Learning, Keras, Scikit-learn",Machine Learning Engineer
88.35,83.97,6.02,Cloud Computing,"DevOps, Azure",Cloud Engineer
76.08,92.37,7.75,AI/ML,"NLP, Keras, Python, Scikit-learn",Machine Learning Engineer
76.95,77.36,8.95,Design,"Figma, Photoshop",UX/UI Designer
70.52,66.78,8.16,Web Development,"Node.js, HTML, React, Bootstrap",Web Developer
90.07,64.88,6.8,Web Development,"HTML, CSS",Web Developer
80.37,78.62,6.41,Software Development,"Spring Boot, Problem Solving, Java, OOP, Git",Software Developer
78.49,94.98,7.09,Data Science,"Data Analysis, SQL, Python",Data Scientist
76.0,89.4,7.34,Cybersecurity,"Cryptography, Firewalls, Linux, Ethical Hacking",Cybersecurity Analyst
72.81,76.43,6.42,Web Development,"React, HTML",Web Developer
65.39,75.99,7.71,Cloud Computing,"Kubernetes, AWS",Cloud Engineer
63.45,70.77,7.18,AI/ML,"NLP, Deep Learning",Machine Learning Engineer
64.12,62.59,9.38,Software Development,"C++, Git",Software Developer
64.88,84.02,6.93,Design,"Photoshop, UI/UX",UX/UI Designer
79.54,80.64,9.24,Software Development,"Spring Boot, Problem Solving, C++",Software Developer
76.13,89.85,6.51,AI/ML,"Python, Deep Learning, Scikit-learn, Keras",Machine Learning Engineer
70.54,86.3,8.93,Cloud Computing,"Azure, Terraform, AWS, Kubernetes, Docker",Cloud Engineer
68.4,61.73,8.06,Software Development,"Java, Git, Problem Solving, C++, OOP",Software Developer
77.72,87.68,6.04,Cloud Computing,"Kubernetes, Azure",Cloud Engineer
84.49,89.5,6.72,Software Development,"Spring Boot, OOP",Software Developer
77.91,90.95,6.36,Cloud Computing,"AWS, Kubernetes, Docker",Cloud Engineer
60.88,73.18,7.69,Design,"Adobe XD, Photoshop, Figma, Creativity",UX/UI Designer
66.16,94.63,7.88,Cloud Computing,"DevOps, Terraform, Azure",Cloud Engineer
92.53,70.13,6.27,Web Development,"JavaScript, HTML, Node.js",Web Developer
74.79,93.02,6.48,Web Development,"React, Node.js, Bootstrap, CSS",Web Developer
80.11,94.32,8.13,Cloud Computing,"Kubernetes, Docker",Cloud Engineer
86.46,82.74,7.83,Cybersecurity,"Wireshark, Firewalls, Cryptography",Cybersecurity Analyst
82.19,62.78,8.52,Design,"Creativity, Sketch",UX/UI Designer
76.46,64.11,7.33,AI/ML,"Scikit-learn, NLP, TensorFlow, Python, Keras",Machine Learning Engineer
86.03,71.63,6.06,Data Science,"SQL, Python, Machine Learning, Pandas",Data Scientist
70.77,91.79,8.16,Cybersecurity,"Cryptography, Ethical Hacking, Network Security, Firewalls, Linux",Cybersecurity Analyst
65.93,80.21,6.59,Software Development,"Git, Spring Boot",Software Developer
72.28,88.74,9.24,Data Science,"NumPy, Pandas, Machine Learning, Python, SQL",Data Scientist
64.06,91.55,7.87,Design,"Adobe XD, Creativity",UX/UI Designer
84.89,69.74,8.08,Software Development,"Git, Spring Boot, C++, OOP, Problem Solving",Software Developer
75.59,91.82,7.42,Cloud Computing,"AWS, Kubernetes, Azure",Cloud Engineer
69.63,83.63,7.44,Design,"Sketch, Adobe XD, Figma, Photoshop",UX/UI Designer
89.8,73.69,6.51,Web Development,"CSS, Bootstrap",Web Developer
88.82,79.95,9.01,Web Development,"React, Bootstrap, CSS, Node.js",Web Developer
83.93,64.2,8.63,Design,"Figma, UI/UX, Photoshop, Adobe XD, Sketch",UX/UI Designer
71.24,86.18,7.5,Web Development,"React, Node.js, CSS",Web Developer
70.39,85.49,8.62,AI/ML,"Scikit-learn, Deep Learning",Machine Learning Engineer
68.62,70.5,6.43,Cybersecurity,"Cryptography, Wireshark, Linux, Network Security",Cybersecurity Analyst
70.07,83.85,9.35,AI/ML,"NLP, Python",Machine Learning Engineer
68.82,80.41,9.43,Data Science,"Pandas, Machine Learning, NumPy, Data Analysis",Data Scientist
70.64,90.69,7.65,AI/ML,"NLP, Scikit-learn",Machine Learning Engineer
87.21,70.08,7.02,Data Science,"Data Analysis, Python, SQL, NumPy",Data Scientist
61.63,73.16,6.94,Design,"Photoshop, UI/UX, Adobe XD",UX/UI Designer
84.0,70.58,6.98,AI/ML,"Scikit-learn, Python, Keras",Machine Learning Engineer
61.78,88.62,6.32,Web Development,"HTML, React, JavaScript, Node.js, CSS",Web Developer
88.54,65.93,9.16,Web Development,"CSS, HTML",Web Developer
77.48,62.24,9.26,Cloud Computing,"Azure, Docker, AWS",Cloud Engineer
76.28,76.81,7.14,Data Science,"NumPy, SQL, Data Analysis, Python, Machine Learning",Data Scientist
68.78,62.54,6.81,Cloud Computing,"Docker, AWS, Azure, Terraform",Cloud Engineer
77.03,63.73,8.93,Cloud Computing,"Terraform, Azure, Kubernetes",Cloud Engineer
70.94,66.3,6.53,Cybersecurity,"Wireshark, Cryptography, Ethical Hacking, Firewalls",Cybersecurity Analyst
72.43,63.45,8.63,Web Development,"HTML, Bootstrap, React, JavaScript, CSS",Web Developer
67.59,75.53,9.18,Cybersecurity,"Ethical Hacking, Network Security, Wireshark, Cryptography, Firewalls",Cybersecurity Analyst
71.26,67.95,7.85,AI/ML,"NLP, Python, Deep Learning",Machine Learning Engineer
87.74,81.49,6.7,Cloud Computing,"AWS, Kubernetes",Cloud Engineer
90.01,67.52,9.3,Software Development,"C++, Git, OOP, Problem Solving",Software Developer
86.33,83.27,9.45,Design,"Sketch, Creativity",UX/UI Designer
92.05,79.25,6.2,Design,"UI/UX, Photoshop",UX/UI Designer
66.83,65.14,8.58,Design,"Photoshop, Figma, Creativity, Sketch",UX/UI Designer
93.66,92.07,9.38,Data Science,"Data Analysis, Python, NumPy, Pandas",Data Scientist
85.53,61.67,6.7,Cybersecurity,"Wireshark, Linux, Firewalls, Cryptography",Cybersecurity Analyst
70.09,60.52,7.16,Software Development,"Problem Solving, Spring Boot, Git, C++",Software Developer
84.42,60.25,7.17,Data Science,"Machine Learning, NumPy",Data Scientist
82.63,63.73,6.79,Web Development,"CSS, Node.js",Web Developer
74.58,71.69,6.03,AI/ML,"Keras, Deep Learning",Machine Learning Engineer
72.37,76.76,7.17,Cybersecurity,"Linux, Wireshark",Cybersecurity Analyst
66.12,90.42,6.8,Web Development,"CSS, React",Web Developer
80.3,83.85,9.23,Software Development,"Git, Java, Spring Boot, C++, Problem Solving",Software Developer
83.94,64.75,8.19,Design,"UI/UX, Adobe XD",UX/UI Designer
81.42,92.14,7.62,AI/ML,"Deep Learning, Python, NLP, TensorFlow, Scikit-learn",Machine Learning Engineer
83.94,69.38,6.69,Data Science,"Pandas, NumPy",Data Scientist
82.72,90.35,8.93,Software Development,"Problem Solving, C++",Software Developer
68.98,91.7,8.99,Cloud Computing,"Kubernetes, Docker, Azure, Terraform",Cloud Engineer
82.85,69.34,8.32,Design,"Figma, Photoshop",UX/UI Designer
70.6,71.26,9.39,Cybersecurity,"Network Security, Firewalls, Cryptography, Ethical Hacking",Cybersecurity Analyst
86.84,80.76,7.18,Cybersecurity,"Linux, Network Security",Cybersecurity Analyst
64.89,62.03,8.9,Cloud Computing,"Kubernetes, Azure, Terraform",Cloud Engineer
85.5,75.27,6.67,Cybersecurity,"Firewalls, Ethical Hacking, Network Security",Cybersecurity Analyst
67.11,81.94,8.32,Web Development,"JavaScript, Bootstrap, Node.js",Web Developer
94.98,78.22,7.82,AI/ML,"Scikit-learn, Deep Learning, NLP, TensorFlow, Keras",Machine Learning Engineer
80.94,63.9,8.33,Software Development,"Problem Solving, Spring Boot, C++",Software Developer
79.39,94.94,9.34,Cloud Computing,"AWS, Kubernetes, Docker, DevOps, Terraform",Cloud Engineer
75.26,67.45,7.46,Cybersecurity,"Cryptography, Firewalls, Network Security, Wireshark",Cybersecurity Analyst
85.84,77.7,6.95,Cloud Computing,"Kubernetes, AWS, Docker",Cloud Engineer
86.8,70.01,6.7,Cybersecurity,"Network Security, Ethical Hacking, Wireshark, Firewalls",Cybersecurity Analyst
90.19,78.01,6.16,AI/ML,"Deep Learning, Scikit-learn, Python, Keras, TensorFlow",Machine Learning Engineer
87.18,66.55,7.76,Web Development,"Bootstrap, HTML, JavaScript, React",Web Developer
64.38,65.7,9.3,Cybersecurity,"Ethical Hacking, Wireshark, Linux",Cybersecurity Analyst
79.75,80.34,8.77,Design,"Adobe XD, Sketch, Creativity",UX/UI Designer
83.74,75.48,8.62,Software Development,"Java, Spring Boot",Software Developer
66.52,91.7,9.22,Design,"Sketch, Photoshop, Adobe XD, Creativity, UI/UX",UX/UI Designer
88.81,65.67,7.81,Cybersecurity,"Ethical Hacking, Firewalls, Linux, Cryptography, Wireshark",Cybersecurity Analyst
89.62,70.93,8.64,Data Science,"NumPy, Data Analysis, Machine Learning, Python, SQL",Data Scientist
68.62,62.76,8.2,Software Development,"Problem Solving, Spring Boot, Java, OOP, Git",Software Developer
67.87,84.18,8.1,Web Development,"Bootstrap, CSS, React, JavaScript, Node.js",Web Developer
63.65,61.7,7.14,Design,"Sketch, UI/UX",UX/UI Designer
85.5,85.0,9.08,Design,"Sketch, UI/UX, Adobe XD, Figma, Creativity",UX/UI Designer
94.81,69.01,7.5,AI/ML,"Python, Deep Learning, Scikit-learn, NLP, TensorFlow",Machine Learning Engineer
71.18,70.1,7.18,AI/ML,"TensorFlow, Keras, Scikit-learn, NLP, Python",Machine Learning Engineer
69.73,81.07,8.31,AI/ML,"Deep Learning, Keras, Python, TensorFlow",Machine Learning Engineer
86.19,78.19,8.66,Software Development,"C++, Problem Solving",Software Developer
68.34,71.63,7.85,Design,"Photoshop, Figma, Creativity, Adobe XD, UI/UX",UX/UI Designer
62.37,75.31,8.46,AI/ML,"Scikit-learn, TensorFlow, Python, Keras, NLP",Machine Learning Engineer
78.23,93.31,7.13,Web Development,"JavaScript, Bootstrap, CSS, HTML",Web Developer
62.21,82.17,8.11,Software Development,"OOP, Problem Solving, Spring Boot, Java, C++",Software Developer
90.28,79.07,7.64,AI/ML,"Scikit-learn, NLP",Machine Learning Engineer
70.61,74.52,8.25,Cybersecurity,"Ethical Hacking, Firewalls, Cryptography, Wireshark, Linux",Cybersecurity Analyst
82.54,93.04,9.14,Cloud Computing,"Kubernetes, Azure, Terraform, Docker, DevOps",Cloud Engineer
85.66,85.92,7.74,Web Development,"HTML, React, Node.js",Web Developer
90.52,74.08,8.62,Cybersecurity,"Cryptography, Linux, Ethical Hacking",Cybersecurity Analyst
62.9,61.64,7.21,Cybersecurity,"Firewalls, Ethical Hacking, Wireshark",Cybersecurity Analyst
62.18,90.66,6.82,Cybersecurity,"Ethical Hacking, Linux, Firewalls, Wireshark",Cybersecurity Analyst
73.86,83.66,6.32,Design,"Photoshop, Adobe XD, Sketch, Figma, Creativity",UX/UI Designer
84.14,74.82,6.56,Data Science,"Machine Learning, Pandas, Data Analysis, Python",Data Scientist
60.45,92.34,7.21,Cybersecurity,"Wireshark, Network Security",Cybersecurity Analyst
84.6,89.6,8.01,Design,"Adobe XD, Sketch, Photoshop",UX/UI Designer
86.28,80.65,7.47,Cybersecurity,"Wireshark, Linux",Cybersecurity Analyst
66.49,71.91,7.5,Cloud Computing,"Kubernetes, Docker",Cloud Engineer
82.36,66.26,8.17,Design,"Creativity, UI/UX, Adobe XD, Photoshop",UX/UI Designer
88.6,62.08,7.99,AI/ML,"TensorFlow, Deep Learning",Machine Learning Engineer
89.79,61.29,8.76,Web Development,"Node.js, JavaScript, Bootstrap, CSS",Web Developer
80.14,71.13,8.16,AI/ML,"TensorFlow, Keras, Scikit-learn",Machine Learning Engineer
65.41,73.44,6.2,Web Development,"CSS, Node.js, JavaScript, Bootstrap",Web Developer
67.25,76.81,6.8,Cloud Computing,"Docker, DevOps, Terraform, Kubernetes, Azure",Cloud Engineer
77.37,85.41,8.78,Software Development,"Spring Boot, Java, Problem Solving, OOP",Software Developer
92.59,77.79,8.35,Web Development,"React, CSS, JavaScript, Node.js",Web Developer
74.37,88.59,7.52,Software Development,"Git, Spring Boot",Software Developer
79.52,64.36,7.94,Cybersecurity,"Cryptography, Linux",Cybersecurity Analyst
85.17,60.37,7.61,Data Science,"Data Analysis, Machine Learning, NumPy",Data Scientist
92.15,77.72,8.67,AI/ML,"NLP, TensorFlow",Machine Learning Engineer
74.3,94.8,6.59,Cloud Computing,"Docker, AWS, Terraform",Cloud Engineer
79.08,85.48,9.21,Data Science,"NumPy, Machine Learning",Data Scientist
68.27,67.31,6.49,Cloud Computing,"Kubernetes, AWS, DevOps, Docker, Terraform",Cloud Engineer
91.49,78.33,8.56,Design,"Sketch, Creativity, Adobe XD, Photoshop, Figma",UX/UI Designer
91.07,92.73,7.06,Web Development,"CSS, Node.js",Web Developer
71.05,83.07,7.87,AI/ML,"Python, Scikit-learn",Machine Learning Engineer
77.79,64.88,8.09,AI/ML,"Scikit-learn, TensorFlow",Machine Learning Engineer
91.3,82.71,7.49,AI/ML,"Deep Learning, NLP, Scikit-learn",Machine Learning Engineer
85.22,72.88,8.0,Data Science,"Python, NumPy",Data Scientist
61.16,68.08,8.37,AI/ML,"Python, NLP",Machine Learning Engineer
85.95,76.03,6.11,AI/ML,"Keras, TensorFlow, NLP, Deep Learning",Machine Learning Engineer
64.96,92.96,7.3,Design,"Photoshop, Creativity",UX/UI Designer
83.04,87.26,6.53,Data Science,"Python, Data Analysis, SQL, NumPy, Machine Learning",Data Scientist
66.49,63.22,8.53,Cybersecurity,"Ethical Hacking, Cryptography",Cybersecurity Analyst
77.55,86.47,6.69,Software Development,"Spring Boot, Git, C++",Software Developer
86.8,64.47,6.99,AI/ML,"Keras, TensorFlow, Scikit-learn, Deep Learning",Machine Learning Engineer
75.08,65.81,8.02,Data Science,"NumPy, Data Analysis, Pandas, SQL, Machine Learning",Data Scientist
94.29,92.71,6.61,Data Science,"SQL, Machine Learning, Pandas, Python",Data Scientist
79.3,60.03,8.98,Software Development,"Spring Boot, OOP, Java",Software Developer
69.66,69.19,6.67,Cybersecurity,"Wireshark, Ethical Hacking, Cryptography",Cybersecurity Analyst
88.14,71.63,6.59,AI/ML,"Keras, TensorFlow, Scikit-learn",Machine Learning Engineer
69.32,84.8,8.06,Cloud Computing,"AWS, Docker, Kubernetes",Cloud Engineer
77.65,90.15,8.27,Cloud Computing,"Azure, Kubernetes, Terraform, Docker, AWS",Cloud Engineer
92.95,65.23,6.64,AI/ML,"TensorFlow, NLP, Scikit-learn, Keras, Deep Learning",Machine Learning Engineer
78.79,80.19,7.08,Data Science,"NumPy, Pandas, Python, Machine Learning, SQL",Data Scientist
85.65,93.17,9.08,Cybersecurity,"Firewalls, Wireshark",Cybersecurity Analyst
86.32,75.03,7.78,Cybersecurity,"Wireshark, Cryptography, Firewalls, Network Security",Cybersecurity Analyst
71.87,77.95,8.7,Data Science,"Python, SQL, NumPy",Data Scientist
87.74,75.88,8.26,Cybersecurity,"Linux, Firewalls, Wireshark",Cybersecurity Analyst
65.22,63.1,7.14,Web Development,"JavaScript, React, HTML, CSS",Web Developer
90.26,62.05,8.07,Cybersecurity,"Cryptography, Wireshark, Network Security, Firewalls",Cybersecurity Analyst
90.72,74.07,8.41,Design,"Creativity, Sketch",UX/UI Designer
60.78,94.83,7.38,Software Development,"Java, Git, Spring Boot, Problem Solving, C++",Software Developer
65.2,65.38,7.82,Software Development,"Spring Boot, C++, Java",Software Developer
83.39,71.71,8.13,Cloud Computing,"Kubernetes, Docker",Cloud Engineer
76.68,62.7,7.42,Cloud Computing,"DevOps, Terraform, Kubernetes",Cloud Engineer
75.65,77.98,8.21,Web Development,"Node.js, React, Bootstrap, CSS, JavaScript",Web Developer
67.01,81.61,8.39,AI/ML,"Python, NLP",Machine Learning Engineer
72.06,65.23,6.58,Data Science,"SQL, Machine Learning, Data Analysis, Pandas, Python",Data Scientist
93.61,71.47,7.17,Web Development,"JavaScript, HTML, Node.js, Bootstrap, React",Web Developer
83.04,84.68,8.76,AI/ML,"Deep Learning, Keras",Machine Learning Engineer
84.39,80.58,7.45,Data Science,"SQL, NumPy, Pandas",Data Scientist
82.58,68.11,7.34,Data Science,"Pandas, SQL, NumPy, Machine Learning",Data Scientist
65.27,82.56,9.46,Cloud Computing,"Docker, Azure, DevOps, Kubernetes, AWS",Cloud Engineer
71.15,79.55,6.8,Cybersecurity,"Firewalls, Cryptography",Cybersecurity Analyst
71.72,84.14,6.1,Cybersecurity,"Ethical Hacking, Firewalls, Wireshark",Cybersecurity Analyst
90.24,69.39,6.3,Data Science,"NumPy, Python, SQL, Data Analysis, Pandas",Data Scientist
83.26,79.95,6.97,Design,"Sketch, Figma",UX/UI Designer
76.98,64.37,7.75,Design,"Creativity, UI/UX, Figma",UX/UI Designer
62.85,64.18,8.62,Web Development,"Bootstrap, HTML",Web Developer
85.54,88.12,8.62,AI/ML,"Python, NLP, Deep Learning, Keras, TensorFlow",Machine Learning Engineer
90.8,86.95,7.05,Data Science,"SQL, Python, Machine Learning, Pandas, NumPy",Data Scientist
65.57,61.97,9.2,Cybersecurity,"Ethical Hacking, Linux",Cybersecurity Analyst
65.31,67.63,6.48,Web Development,"CSS, Bootstrap, HTML, Node.js",Web Developer
80.93,81.51,8.0,AI/ML,"NLP, Python, TensorFlow",Machine Learning Engineer
61.63,81.6,9.43,AI/ML,"Scikit-learn, TensorFlow, NLP",Machine Learning Engineer
65.37,85.41,8.59,AI/ML,"Python, Deep Learning, NLP",Machine Learning Engineer
62.89,78.07,8.14,Data Science,"Data Analysis, Python, Machine Learning, Pandas",Data Scientist
68.24,94.37,7.08,Software Development,"Spring Boot, Problem Solving, C++, Java",Software Developer
76.28,90.65,8.99,Web Development,"React, Bootstrap",Web Developer
79.18,78.26,6.48,Software Development,"Git, Java, Problem Solving",Software Developer
82.96,79.06,6.46,Software Development,"OOP, Problem Solving, C++, Spring Boot",Software Developer
94.89,70.6,8.38,AI/ML,"Python, NLP, Scikit-learn",Machine Learning Engineer
83.4,66.3,7.94,Web Development,"Node.js, CSS, JavaScript",Web Developer
83.02,86.76,8.68,Cybersecurity,"Network Security, Cryptography, Wireshark, Ethical Hacking",Cybersecurity Analyst
81.59,75.52,8.63,Software Development,"Git, Java, Spring Boot, C++, OOP",Software Developer
78.3,67.63,8.13,Cloud Computing,"Terraform, Kubernetes, Docker",Cloud Engineer
77.59,91.61,8.09,Cybersecurity,"Network Security, Firewalls",Cybersecurity Analyst
75.69,64.73,7.64,Web Development,"HTML, Node.js, CSS",Web Developer
92.82,78.18,9.33,Data Science,"Data Analysis, SQL, Python, Pandas, Machine Learning",Data Scientist
68.06,71.52,6.53,Design,"UI/UX, Creativity, Photoshop, Figma",UX/UI Designer
64.53,91.92,6.69,Web Development,"HTML, JavaScript, CSS, Bootstrap",Web Developer
80.5,78.38,6.24,Software Development,"OOP, Java, Git",Software Developer
60.44,89.79,6.34,Web Development,"Node.js, JavaScript, Bootstrap, HTML, React",Web Developer
86.77,82.16,9.25,Cybersecurity,"Firewalls, Cryptography, Linux, Network Security, Wireshark",Cybersecurity Analyst
84.37,86.07,6.25,Software Development,"OOP, Java, Problem Solving",Software Developer
94.26,72.66,8.55,Cloud Computing,"Docker, Terraform, DevOps",Cloud Engineer
79.3,66.41,7.64,Cloud Computing,"Terraform, Azure",Cloud Engineer
72.34,66.49,7.43,AI/ML,"TensorFlow, Deep Learning, Python, Keras",Machine Learning Engineer
77.44,73.13,8.79,Cybersecurity,"Ethical Hacking, Cryptography, Firewalls, Network Security, Linux",Cybersecurity Analyst
68.56,71.8,6.7,Cybersecurity,"Wireshark, Ethical Hacking, Linux",Cybersecurity Analyst
77.96,93.99,6.29,Design,"UI/UX, Photoshop",UX/UI Designer
60.71,84.44,9.15,Design,"Sketch, Adobe XD, Figma",UX/UI Designer
90.12,62.24,8.49,Data Science,"SQL, Python, Machine Learning",Data Scientist
86.12,70.47,7.54,Data Science,"Pandas, Python, SQL, Machine Learning, NumPy",Data Scientist
91.35,87.29,7.23,Cybersecurity,"Linux, Wireshark, Ethical Hacking, Network Security",Cybersecurity Analyst
85.12,60.74,8.71,Cybersecurity,"Cryptography, Linux, Wireshark",Cybersecurity Analyst
60.06,78.52,6.15,Cybersecurity,"Wireshark, Cryptography, Network Security",Cybersecurity Analyst
71.09,80.04,6.8,Design,"UI/UX, Figma, Adobe XD, Creativity, Sketch",UX/UI Designer
60.44,83.48,8.58,Data Science,"Data Analysis, Python, Machine Learning, Pandas, NumPy",Data Scientist
68.0,82.87,6.49,Web Development,"HTML, CSS, React, Node.js, JavaScript",Web Developer
90.67,65.87,6.05,Cybersecurity,"Cryptography, Linux, Firewalls, Wireshark",Cybersecurity Analyst
67.18,70.02,7.4,Cybersecurity,"Network Security, Cryptography, Firewalls, Wireshark, Ethical Hacking",Cybersecurity Analyst
64.64,91.78,8.42,AI/ML,"Keras, NLP, Scikit-learn, Python, Deep Learning",Machine Learning Engineer
87.54,75.42,8.84,AI/ML,"NLP, Deep Learning, TensorFlow, Scikit-learn, Keras",Machine Learning Engineer
63.42,69.76,9.08,Data Science,"Data Analysis, Machine Learning, Python, NumPy",Data Scientist
83.46,91.81,8.91,AI/ML,"Scikit-learn, Python, NLP",Machine Learning Engineer
60.48,61.56,7.81,Design,"Photoshop, UI/UX",UX/UI Designer
80.91,79.49,7.31,Software Development,"Git, Problem Solving",Software Developer
83.89,83.13,7.51,Cloud Computing,"DevOps, Terraform, AWS, Kubernetes, Docker",Cloud Engineer
89.37,83.04,8.04,Cloud Computing,"Kubernetes, Terraform",Cloud Engineer
64.62,92.15,8.59,Software Development,"Java, Spring Boot, Problem Solving, Git, OOP",Software Developer
89.8,92.16,9.02,Cybersecurity,"Firewalls, Cryptography, Wireshark",Cybersecurity Analyst
63.93,78.43,7.39,Design,"UI/UX, Adobe XD, Photoshop, Creativity",UX/UI Designer
86.21,60.67,7.99,Data Science,"Data Analysis, SQL, Machine Learning, NumPy, Python",Data Scientist
91.11,63.32,7.45,Software Development,"Java, Git, OOP",Software Developer
91.79,86.48,6.24,Software Development,"Java, Problem Solving",Software Developer
85.1,74.72,8.26,Web Development,"JavaScript, React, CSS, HTML, Node.js",Web Developer
84.42,73.36,7.35,Software Development,"Spring Boot, Java",Software Developer
90.06,84.14,8.61,Design,"Adobe XD, UI/UX, Figma",UX/UI Designer
71.17,63.21,7.64,AI/ML,"Keras, Deep Learning, TensorFlow",Machine Learning Engineer
